INPUT,{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT},{ABSENT}
R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=Proto-Balkan-Indo-European,null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT},null{ABSENT}
R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
