etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | #ˌaɣjˈazma# | *#ˌajˈaːzma# | *#ˌajˈaːzm̩# {GOLD: >*} | *#ˌajˈaːzm̩# | *#ajˈazm̩# | *#ajˈazəm# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | ... | #ˌɑxtɑpˈɔði# | *#ˌɑftɑpˈɔðə# | *#ˌaftapˈɔð# {GOLD: >*} | *#ˌaftapˈɔð# | *#aftapˈɔð# | *#aftapˈɔð# {GOLD: #aftapˈɔð#}
2      | ... | ... | ... | ... | ... | ... | ... | #ˌavlˈi# | *#ˌavlˠˈi# | *#ˌavlˠˈi# {GOLD: >*} | *#ˌavlˠˈi# | *#avlˠˈi# | *#avlˠˈi# {GOLD: #avlˠˈi#}
3      | ... | ... | ... | ... | ... | ... | ... | #ˈalima# | *#ˈaːlima# | *#ˈaːlimə# {GOLD: >*} | *#ˈaːlim# | *#ˈalm# | *#ˈalm# {GOLD: #ˈaləm#}
4      | ... | ... | ... | ... | ... | ... | ... | #ˈamja# | *#ˈamja# | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# | *#ˈamɛ# | *#ˈamɛ# {GOLD: #ˈamɛ#}
5      | ... | ... | ... | ... | ... | ... | ... | #ˌarsˈɛnɪka# | *#ˌarsˈɛnɡa# | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#ˌaɾsˈɛɲ̈ɡə# | *#aɾsˈɛɲ̈ɡə# | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
6      | ... | ... | ... | ... | #ˈɑɡrion# | *#ˈɑɡrion# | *#ˈeɡrɪon# | *#ˈeɡɾɪ̃n# | *#ˈɛɡɾə̃# | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# | *#ˈɛɡɾ̩# | *#ˈɛɡəɾ# {GOLD: #ˈɛɡəɾ#}
7      | ... | ... | #ɦˌaːˈera# | *#ˌɒːˈerɑ# | *#ˌɒːˈɛrɑ# | *#ˌoˈɛrɑ# | *#ˌoːˈɛra# | *#ˌɔːˈɛɾa# | *#ˌɔːˈɛːɾa# | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛːɾə# | *#ˈɛɾə# | *#ˈɛɾə# {GOLD: #ˈɛɾə#}
8      | ... | ... | ... | ... | #ˈɛːxɔn# | *#ˈɛxon# | *#ˈɛxon# | *#ˈɛːxɔ̃n# | *#ˈie̯xə# | *#jˈɛx# {GOLD: >*} | *#jˈɛh# | *#jˈɛh# | *#jˈɛh# {GOLD: #jˈɛh#}
9      | ... | ... | #ɦˈɛːremon# | *#ˈɛːrəmon# | *#ˈɛːrəmʊ# | *#ˈɛrəmu# | *#ˈɛrəmu# | *#ˈɛːɾmu# | *#ˈie̯ɾmə# | *#jˈɛɾm# {GOLD: #jˈɛɾəm#} | *#jˈɛɾm# | *#jˈɛɾm# | *#jˈɛɾm# {GOLD: #jˈɛɾm#}
10     | ... | ... | ... | ... | ... | ... | ... | #jˌɔzˈɛfɔ# | *#jˌɔzˈɛːfə# | *#jˌɔzˈɛːf# {GOLD: >*} | *#jˌɔzˈɛːf# | *#jɔzˈɛf# | *#jɔzˈɛf# {GOLD: #jɔzˈɛf#}
11     | ... | ... | ... | ... | ... | ... | ... | #jˌɔzˈifɔ# | *#jˌɔzˈiːfə# | *#jˌɔzˈiːf# {GOLD: >*} | *#jˌɔzˈiːf# | *#jɔzˈif# | *#jɔzˈif# {GOLD: #jɔzˈif#}
12     | ... | ... | #ɦˈejsammon# | *#ˈejsɑmmon# | *#ˈɛjsɑmmʊ# | *#ˈɛjsɑmmu# | *#ˈisammu# | *#ˈiʃɐmmu# | *#ˈiːʃɐmə# | *#ˈiːʃm̩# {GOLD: >*} | *#ˈiːʃm̩# | *#ˈiʃm̩# | *#ˈiʃəm# {GOLD: #ˈiʃəm#}
13     | ... | ... | ... | ... | ... | ... | ... | #ˈiːðulɔ# | *#ˈiːðulˠə# | *#ˈiːðulˠ# {GOLD: >*} | *#ˈiːðulˠ# | *#ˈiðulˠ# | *#ˈiðulˠ# {GOLD: #ˈiðulˠ#}
14     | ... | ... | ... | ... | ... | ... | ... | #ˈɔkrɔn# | *#ˈɔkrə# | *#ˈɔkɾ̩# {GOLD: >*} | *#ˈɔkɾ̩# | *#ˈɔkɾ̩# | *#ˈɔkəɾ# {GOLD: #ˈɔkəɾ#}
15     | ... | ... | ... | ... | ... | ... | ... | #kˌalɔɣˈɛːrɔ# | *#kˌalˠɔɡˈie̯rə# | *#kˌalˠɔɡjˈɛɾ# {GOLD: >*} | *#kˌalˠɔɡjˈɛɾ# | *#kalˠɔɟˈɛɾ# | *#kalˠɔɟˈɛɾ# {GOLD: #kalˠɔɟˈɛɾ#}
16     | ... | ... | ... | ... | ... | ... | ... | #kˌatˈɔːɣɪ# | *#kˌatˈuo̯# | *#kˌatˈuo̯# {GOLD: >*} | *#kˌatˈua̯# | *#katˈua̯# | *#katˈua̯# {GOLD: #katˈua̯#}
